"id";"instance_id";"item_id";"test_equipment_pn";"test_equipment_description";"test_asset_category_path";"category_id";"test_equipment_internal_descrip";"test_asset_name";"test_asset_name_type";"utilization_status_id";"status";"quantity";"location_org_id";"location_org";"location_id";"locator_id";"default_location_id";"default_locator_id";"location";"locator";"location_type";"location_restricted_flag";"default_location";"default_locator";"restricted_pn_list";"instance_departments"
"0";"7820";"2496";"539265A-02";"TEST STATION TYPE FOR PXIE-408X DMMS, 2 CALIBRATOR VARIANT";"Test Equipments / Test Stations";"42";"TEST STATION FOR PXIE-408X, DMMS, 2 CALIBRATOR VARIANT, RMC1";"DMMA3921103NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23760";;"23760.0";;"Test'n RF";;"TAFU";"N";"Test'n RF";;;"Mfg Test"
"1";"7824";"2322";"531554D-01";"STATION TYPE FOR PXI-4110, PXI-4130, PXI-4132, POWER SUPPLY TEST STATION";"Test Equipments / Test Stations";"42";"3th GEN DC Power";"LPDC2400100NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23701";"463036.0";"23760.0";;"Egyfokos szoba (MFG)";"Production";"TAFU";"N";"Test'n RF";;;"Mfg Test"
"2";"7833";"2500";"532804A-10";"STATION TYPE FOR DMM, FVT, SUPERSET OF ALL 1 DEGREE ROOM DMM'S/6.5 DIGIT (ALL BUS TYPES)";"Test Equipments / Test Stations";"42";"TEST STATION FOR DMMs";"TS423-NIH";"SERIAL";"1.0";"Unplanned downtime";"1";"1027";"DEB";"23750";;;;"Egyfokos szoba (HWS)";;"TAFU";"N";;;;"Mfg Test"
"3";"7834";"2500";"532804A-10";"STATION TYPE FOR DMM, FVT, SUPERSET OF ALL 1 DEGREE ROOM DMM'S/6.5 DIGIT (ALL BUS TYPES)";"Test Equipments / Test Stations";"42";"TEST STATION FOR DMMs";"TS424-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23760";;"23760.0";;"Test'n RF";;"TAFU";"N";"Test'n RF";;;"Mfg Test"
"4";"7849";"2297";"534829H-02";"STATION TYPE FOR CONTROLLERS UNIVERSAL TEST STATION";"Test Equipments / Test Stations";"42";"Universal Controllers";"CONT0301105NIH";"SERIAL";"1.0";"Unplanned downtime";"1";"1027";"DEB";"23770";;"459280.0";"463051.0";"Laborok - FVT Test tech labor";;"TAFU";"N";"DAQ&C2";"Production";;"Mfg Test"
"5";"7853";"2318";"532617C-01";"STATION TYPE FOR CFP AND CRIO POWER SUPPLIES, CONTROLLERS, AND BACKPLANES";"Test Equipments / Test Stations";"42";"cRIO Power&BP Station";"TS272-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23710";"90040.0";"23736.0";"151271.0";"Dinamikus lokációk";"A";"TAFU";"N";"BU - RMA";"RMA";;"Mfg Test"
"6";"7863";"2510";"533541A-01";"STATION TYPE FOR MCC PRODUCTS (ITOX, WIN98)";"Test Equipments / Test Stations";"42";"For MCC, WIN98";"MCC08";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459300";"463029.0";"459300.0";"463029.0";"DAQ&C4";"Production";"TAFU";"N";"DAQ&C4";"Production";;"Mfg Test"
"7";"7865";"2511";"532014B-01";"STATION TYPE FOR USB-847X, USB-CAN/LIN, SERIES 3, XNET";"Test Equipments / Test Stations";"42";"USB-CAN USB-847x";"TS218-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459300";"463029.0";"459300.0";"463029.0";"DAQ&C4";"Production";"TAFU";"N";"DAQ&C4";"Production";;"Mfg Test"
"8";"7909";"2530";"531326B-01";"STATION TYPE FOR SOURCES, SINGLE SMC";"Test Equipments / Test Stations";"42";;"LSRC2510103NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23760";;"23760.0";;"Test'n RF";;"TAFU";"N";"Test'n RF";;;"Mfg Test"
"9";"7923";"2308";"537437A-01";"STATION TYPE FOR DC POWER, 4TH GENERATION";"Test Equipments / Test Stations";"42";"4th Gen DC Power";"TS247-NIH";"SERIAL";"1.0";"Unplanned downtime";"1";"1027";"DEB";"23770";;"23760.0";;"Laborok - FVT Test tech labor";;"TAFU";"N";"Test'n RF";;;"Mfg Test"
"10";"7937";"2549";"535456A-01";"STATION TYPE FOR LEGACY FP AND CFP CONTROLLERS";"Test Equipments / Test Stations";"42";"FieldPoint / FP1300";"TS075-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23710";"90061.0";;;"Dinamikus lokációk";"C";"TAFU";"N";;;;"Mfg Test"
